Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Meredosia-Chambersburg Elementary Sch- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.07E+13,,1.73E+11,1,School,Meredosia-Chambersburg Elementary Sch,Meredosia,Morgan,UNIT,SMALL,ELEMENTARY,PK - 5,5.3,Comprehensive,107,94.4,,,,,,,26.2,26.2,,79.4,,,91.1,10.5,,,,,13.2,5,,,,,77.8,,,1,,,57,3,41,3,38,2,37,2,40,3,99.9,94.1,0,50,2,50,34.1,27.7,1,20,5,,,32.6,5,9,,,3,5,1,,,,,,,,,3349,99.9,94.1,35,17,67,9,27,55,41,60,63,40,44,57,62,36,53,30,85,30,48,54,25,,58,,51,39,,,42,,31,48,,1,29,,,33,30,57,41,38,37,40,2,-2
Triopia Jr-Sr High School- Triopia CUSD 27,Triopia CUSD 27,1.07E+13,,1.71E+11,1,School,Triopia Jr-Sr High School,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,21.1,Commendable,184,94,,,,,,,15.2,13.6,,28.3,,0,93.6,7.4,,,,92.9,15.1,3.2,,,,,91.3,,,3,,,33,2,35,2,30,2,55,3,52,3,99.9,72.7,24,90,25,89,45.3,29.5,38,60,63.3,35,89.7,20.1,13,20,,,5,15,,,,,,,,,,4557,99.9,72.7,183,22,68,20,40,30,8,15,63,25,28,79,23,28,68,58,30,38,22,25,63,45,95,49,84,44,10,87,60,67,66,44,81,37,41,48,52,86,81,33,35,30,55,52,1,-3
Triopia Grade School- Triopia CUSD 27,Triopia CUSD 27,1.07E+13,,1.71E+11,1,School,Triopia Grade School,Concord,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,18.1,Commendable,202,95.5,,,,,,,11.4,11.4,,25.7,,,94.9,,,,,,17,5,,,,,95.1,,,1,,,56,3,45,3,48,3,77,4,54,3,99.9,99.9,51,111,54,111,43.8,58.9,22,30,73.3,,,9.1,,,,,,,,,,,,,,,,4556,99.9,99.9,92,22,71,15,46,46,37,49,64,33,58,78,54,20,62,28,60,54,63,50,67,,84,59,60,63,,83,73,60,84,52,40,63,64,11,,79,74,56,45,48,77,54,4,1
Jacksonville High School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,Jacksonville High School,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,9 - 12,27,Targeted,840,76.7,10.8,3.5,1.3,,,7.6,23.3,19.5,2.5,55.7,1.7,,87.9,11.4,223,24.2,4.7,68.4,17.8,4.9,,,,,86.7,,,4,,,,0,,0,,0,,0,,0,0.2,48.5,40,180,32,180,,,72,150,48,184,81.1,40,158,500,Not Provided,,268,232,Not Provided,,,,,,,,,2955,0.2,48.5,842,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Jacksonville Middle School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,1.07E+13,1.72E+11,1,School,Jacksonville Middle School,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL,6 - 8,23.4,Comprehensive,704,74.6,9.4,4.8,,,,9.9,23.4,20,1.6,56.1,2.4,30.8,91.6,8,140,18.8,,,20.9,5,,,,,83.1,,,4,,,48,3,42,3,30,2,38,2,50,3,78.9,87,171,695,122,695,40.2,40.9,131,250,53.5,,,24.6,153,548,2,Not Provided,204,340,2,14212,Middle/Jr. High,14210,1,3,2023,TComp,West Central,2956,78.9,87,706,77,38,55,40,52,19,36,60,32,20,27,39,38,32,18,99,37,42,46,24,,33,46,62,50,,59,83,21,45,48,25,37,27,53,,37,46,48,42,30,38,50,2,-2
Eisenhower Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,Eisenhower Elementary School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,21.9,Commendable,306,83.3,6.2,4.6,,,,3.3,20.9,19.6,4.6,39.9,,,94.5,9.8,,,,,25.9,5,,,,,78.6,,,2,,,41,3,34,2,50,3,53,3,43,3,97.6,70.6,42,154,61,154,46.1,45.5,29,46,63,,,13.1,13,44,,,20,24,,,,,,,,,,2954,97.6,70.6,84,34,13,27,10,43,11,32,41,44,53,20,57,23,42,10,89,54,46,35,19,,51,,68,59,,,51,,68,51,,62,43,,,51,49,41,34,50,53,43,2,-1
Washington Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,Washington Elementary School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,24.9,Commendable,228,69.3,9.6,4.8,,,,14.9,23.7,21.9,,71.9,6.6,,91.7,9.6,28,13.9,,,19.9,5,,,,,76.9,,,1,,,49,3,58,3,35,2,68,4,54,3,81.5,62.5,14,105,18,105,32.8,40.5,10,31,33.3,,,28.1,30,109,,,12,97,,,,,,,,,,2962,81.5,62.5,65,24,43,42,45,45,44,46,49,25,56,1,82,20,62,44,94,24,57,60,29,,66,,78,88,,,41,,82,44,,61,61,,,62,64,49,58,35,68,54,3,0
Lincoln Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,1.07E+13,1.72E+11,1,School,Lincoln Elementary School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,22.9,Comprehensive,267,50.2,22.8,5.2,,,,21,23.6,22.5,,86.1,3.7,,91.2,15.3,65,27.1,,,24.8,5,,,,,85.2,,,1,,,34,2,35,2,8,1,71,4,48,3,85.1,75,14,117,6,117,33,31,7,33,21.2,,,33.2,39,84,,,57,27,,14217,Elementary,14210,1,6,2023,CSI/NA,Southeast,2798,85.1,75,74,24,61,59,25,38,1,38,32,6,17,8,50,16,25,1,92,1,27,16,33,,99,,99,61,,,68,,68,63,,68,55,,,83,60,34,35,8,71,48,2,-2
South Jacksonville Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,South Jacksonville Elementary School,South Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,25.6,Commendable,309,80.3,4.2,4.9,,,,10,12.9,10.7,3.2,53.1,,,94.1,8.3,17,6.3,,,27.1,5,,,,,86.8,,,2,,,,0,,0,,0,64,4,47,3,96.9,46.4,33,153,46,153,45.9,46.3,39,56,69.6,,,15.2,21,39,,,29,10,,,,,,,,,,2960,96.9,46.4,98,28,,,,,,,,,,,,,,,,,,,,,75,,50,68,,,44,,51,29,,50,60,,,64,69,,,,64,47,4,1
North Jacksonville School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,North Jacksonville School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,17,Commendable,156,73.7,6.4,7.1,,,,11.5,28.8,26.9,,67.9,6.4,,92.4,17.6,18,12.6,,,24,5,,,,,80,,,2,,,42,3,29,2,27,2,67,4,55,3,88.5,70.8,15,76,22,76,33.8,47.5,16,30,53.3,,,25.4,8,16,,,8,8,,,,,,,,,,2959,88.5,70.8,61,24,29,1,27,50,18,30,45,29,40,4,43,1,39,13,84,13,42,33,38,,68,,77,79,,,45,,94,84,,85,50,,,99,54,42,29,27,67,55,2,-1
Murrayville-Woodson Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,Murrayville-Woodson Elementary School,Murrayville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,16.2,Commendable,125,78.4,,,,,,12.8,28,26.4,,47.2,,,92.8,9.8,11,10,,,18.2,5,,,,,92.3,,,1,,,,0,,0,,0,77,4,65,4,84.2,42.9,22,60,12,59,46.8,37.8,9,15,60,,,19.5,7,20,,,3,17,,,,,,,,,,2958,84.2,42.9,38,21,,,,,,,,,,,,,,,,,,,,,96,,79,76,,,51,,64,68,,75,70,,,78,76,,,,77,65,4,2
The Early Years- Jacksonville SD 117,Jacksonville SD 117,1.07E+13,,1.72E+11,1,School,The Early Years,Jacksonville,Morgan,UNIT,LARGE,PreK,PK,9.2,,222,68.5,11.3,4.5,,,,14.9,17.1,17.1,5.4,71.6,,,,,,,,,,,,,,,100,,,1,,,,0,,0,,0,,0,,0,0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961,0,5.9,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pleasant Hill High School- Pleasant Hill CUSD 3,Pleasant Hill CUSD 3,1.08E+13,,1.73E+11,1,School,Pleasant Hill High School,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,21.4,Commendable,96,97.9,,,,,,,19.8,19.8,,41.7,,,90.1,,25,25,,84,12.5,3,,,,,89.5,,,3,,,,0,,0,,0,,0,,0,0,46.7,3,31,1,31,,,12,31,38.7,11,64.7,34,2,2,,,1,1,,,,,,,,,,3884,0,46.7,96,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pleasant Hill Elementary School- Pleasant Hill CUSD 3,Pleasant Hill CUSD 3,1.08E+13,,1.73E+11,1,School,Pleasant Hill Elementary School,Pleasant Hill,Pike,UNIT,SMALL,ELEMENTARY,PK - 8,23.6,Commendable,275,96.4,,,,,,,19.6,19.6,,69.8,,0,92.1,9,24,11.3,,,17.4,3,,,,,93.5,,,1,,,25,2,18,1,17,1,,0,,0,0,69,18,152,12,152,36.8,48.6,32,54,59.3,,,29.1,9,18,,,10,8,,,,,,,,,,3883,0,69,127,42,50,1,1,29,1,1,39,24,15,59,24,1,46,44,7,11,30,19,37,,,,,,,,,,,,,,,,,,,25,18,17,,,1,-3
Griggsville-Perry High School- Griggsville-Perry CUSD 4,Griggsville-Perry CUSD 4,1.08E+13,,1.72E+11,1,School,Griggsville-Perry High School,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,22.1,Commendable,95,97.9,,,,,,,12.6,12.6,,37.9,,,91.7,,,,,57.9,12,2.5,,,,,93.3,,,1,,,16,1,2,1,14,1,12,1,16,1,99.9,99.9,5,30,3,30,,,23,30,76.7,18,90,35.8,2,3,,,2,1,,,,,,,,,,2736,99.9,99.9,90,12,46,1,5,29,1,1,24,12,29,52,1,2,1,2,41,1,8,1,52,6,9,1,16,24,1,54,3,1,1,33,49,3,25,45,14,24,1,16,2,14,12,16,1,-5
Griggsville-Perry Middle School- Griggsville-Perry CUSD 4,Griggsville-Perry CUSD 4,1.08E+13,,1.72E+11,1,School,Griggsville-Perry Middle School,Perry,Pike,UNIT,SMALL,MIDDLE SCHL,5 - 8,24.5,Commendable,94,98.9,,,,,,,20.2,20.2,,44.7,,0,93.2,,,,,,11.5,5,,,,,87.1,,,2,,,54,3,32,2,41,3,59,3,75,4,96.7,99.9,34,93,19,93,53.3,54.4,38,53,71.7,,,18.6,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,2737,96.7,99.9,92,16,82,16,21,63,7,35,58,25,54,49,25,2,35,53,99,44,59,61,56,,58,56,75,71,,73,99,53,84,78,28,44,40,41,,46,54,54,32,41,59,75,3,0
Griggsville-Perry Primary School- Griggsville-Perry CUSD 4,Griggsville-Perry CUSD 4,1.08E+13,,1.72E+11,1,School,Griggsville-Perry Primary School,Griggsville,Pike,UNIT,SMALL,ELEMENTARY,PK - 4,22.7,Commendable,113,99.1,,,,,,,24.8,24.8,,33.6,,,94.1,,,,,,11.3,5,,,,,97.3,,,1,,,17,1,8,1,11,1,51,3,48,3,99.9,99.9,21,50,18,50,44.3,48.2,,,,,,16.5,,,,,,,,,,,,,,,,2738,99.9,99.9,24,20,51,1,1,44,1,1,20,9,22,46,1,1,14,37,73,1,3,21,34,,93,,28,44,,,55,,47,57,,27,19,,,45,43,17,8,11,51,48,1,-3
Pittsfield High School- Pikeland CUSD 10,Pikeland CUSD 10,1.08E+13,,1.73E+11,1,School,Pittsfield High School,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,20.2,Commendable,338,95.3,,3.3,,,,,15.4,15.4,,42.6,,,91,10.6,29,8.2,2.8,83.6,17.3,2.5,,,,,90.5,,,2,,,37,2,31,2,42,3,44,3,37,2,74.3,56.3,17,80,10,80,,,42,75,56,72,80.9,26.1,20,37,,,,37,,,,,,,,,,3843,74.3,56.3,319,32,62,1,42,14,20,31,39,49,30,55,36,1,32,14,99,47,64,43,66,37,43,41,63,50,22,76,39,57,60,44,40,35,36,45,50,38,52,37,31,42,44,37,1,-3
Pittsfield South Elementary School- Pikeland CUSD 10,Pikeland CUSD 10,1.08E+13,,1.73E+11,1,School,Pittsfield South Elementary School,Pittsfield,Pike,UNIT,MEDIUM,ELEMENTARY,PK - 2,20.4,Commendable,330,94.8,,4.5,,,,,15.2,15.2,,52.4,,,92.6,7.3,,,,,19.7,5,,,,,81,,,3,,,38,2,33,2,39,2,,0,,0,0,91.3,,,,,,,,,,,,24.5,3,3,,,,3,,,,,,,,,,3844,0,91.3,0,23,45,45,24,35,10,28,42,45,43,38,36,40,18,21,99,30,45,41,17,,,,,,,,,,,,,,,,,,,38,33,39,,,1,-3
Pikeland Community School- Pikeland CUSD 10,Pikeland CUSD 10,1.08E+13,,1.73E+11,1,School,Pikeland Community School,Pittsfield,Pike,UNIT,MEDIUM,ELEMENTARY,3 - 8,17.7,Commendable,484,94.4,,2.9,,,,,24.4,24.4,,47.5,,22.7,92.6,6.4,34,6.7,,,19.8,5,,,,,79,,,3,,,31,2,21,2,32,2,25,2,26,2,62.5,72.1,105,485,66,484,50.4,52.8,77,155,49.7,,,23.9,54,123,,,61,62,,,,,,,,,,3842,62.5,72.1,416,43,68,4,33,19,7,24,30,23,37,53,18,1,17,22,79,35,49,32,39,,23,8,26,43,,61,15,16,23,25,12,6,30,4,,34,23,31,21,32,25,26,1,-5
Western High School- Western CUSD 12,Western CUSD 12,1.08E+13,,1.70E+11,1,School,Western High School,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,22.3,Commendable,138,95.7,,,,,,,15.2,13.8,,58.7,,,90.5,12.1,23,15.9,,86.2,11.8,5,,,,,92.9,,,2,,,33,2,42,3,52,3,35,2,43,3,94.8,99.9,11,27,4,27,,,19,26,73.1,43,87.8,34,18,28,,,6,22,,,,,,,,,,4730,94.8,99.9,134,13,85,28,48,37,21,27,55,66,48,57,20,41,57,54,99,41,13,55,77,25,33,9,46,47,1,60,31,53,40,41,40,22,39,50,30,47,45,33,42,52,35,43,2,-2
Western Jr High School- Western CUSD 12,Western CUSD 12,1.08E+13,,1.70E+11,1,School,Western Jr High School,Kinderhook,Pike,UNIT,MEDIUM,MIDDLE SCHL,PK - 8,15.1,Commendable,165,96.4,,,,,,,18.2,15.2,,58.2,9.1,0,92.2,,,,,,15.4,5,,,,,79.2,,,3,,,60,4,54,3,41,3,48,3,64,4,95.5,88.9,35,88,17,88,43.6,52.3,18,29,62.1,,,25.3,24,42,1,,37,4,,,,,,,,,,4731,95.5,88.9,88,18,61,46,67,50,27,59,71,41,38,78,64,50,50,40,99,44,60,44,55,,44,62,66,71,,67,44,43,66,99,35,57,35,99,,52,45,60,54,41,48,64,4,2
Western Barry Elem- Western CUSD 12,Western CUSD 12,1.08E+13,,1.70E+11,1,School,Western Barry Elem,Barry,Pike,UNIT,MEDIUM,ELEMENTARY,K - 5,10.7,Commendable,222,96.4,,,,,,,19.4,18,,60.4,6.8,,92.1,8.6,22,11.1,,,18.1,5,,,,,84.9,,,1,,,66,4,46,3,47,3,62,4,63,4,99.9,93.3,36,97,21,97,56.1,49.8,18,28,64.3,,,28.5,9,34,,,23,11,,,,,,,,,,4729,99.9,93.3,66,30,37,25,38,60,32,56,72,67,48,41,52,30,70,38,99,26,76,44,26,,85,,71,62,,,84,,59,66,,72,34,,,80,71,66,46,47,62,63,5,3
Winchester High School- Winchester CUSD 1,Winchester CUSD 1,1.09E+13,,1.74E+11,1,School,Winchester High School,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,20.6,Commendable,166,97.6,,,,,,,25.3,19.9,,40.4,,,93,,12,7.1,,100,12.2,4.7,,,,,86.9,,,1,,,38,2,17,1,33,2,45,3,48,3,72.5,54.5,7,33,5,33,,,15,33,45.5,34,87.2,19.6,22,52,,,30,22,,,,,,,,,,4779,72.5,54.5,167,22,90,1,1,30,1,27,54,27,48,81,47,1,31,46,29,25,42,6,60,26,69,45,55,51,11,71,45,36,61,51,47,26,46,55,40,54,68,38,17,33,45,48,1,-3
Winchester Elementary School- Winchester CUSD 1,Winchester CUSD 1,1.09E+13,,1.74E+11,1,School,Winchester Elementary School,Winchester,Scott,UNIT,MEDIUM,ELEMENTARY,PK - 8,20.3,Commendable,410,97.3,,,,,,,21.2,18,,43.7,,0,93.7,6.1,,,,,19.3,5,,,,,88.2,,,1,,,35,2,30,2,22,2,49,3,42,3,67.1,59.1,76,238,61,238,46.4,39.7,41,81,50.6,,,16.4,27,55,,1,27,27,,,,,,,,,,4778,67.1,59.1,210,44,48,30,18,41,25,19,38,22,18,50,22,5,57,38,75,26,40,21,23,,52,46,44,44,,86,34,33,48,50,54,33,44,56,,52,50,35,30,22,49,42,1,-3
Bluffs High School- Scott-Morgan CUSD 2,Scott-Morgan CUSD 2,1.09E+13,,1.71E+11,1,School,Bluffs High School,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,9 - 12,19.2,,57,94.7,,,,,,,,,,45.6,,,88.3,,10,16.4,,100,11,5,,,,,86.7,,,2,,,,0,,0,,0,41,3,41,3,98.1,75,1,19,2,19,,,10,19,52.6,15,100,50.8,5,7,,,2,5,,,,,,,,,,4226,98.1,75,52,8,,,,,,,,,,,,,,,,,,,,,21,4,23,39,1,80,61,51,25,22,10,14,44,72,36,18,43,,,,41,41,3,0
Bluffs Junior High School- Scott-Morgan CUSD 2,Scott-Morgan CUSD 2,1.09E+13,,1.71E+11,1,School,Bluffs Junior High School,Bluffs,Scott,UNIT,SMALL,MIDDLE SCHL,6 - 8,16.2,Commendable,38,97.4,,,,,,,,,,44.7,,38.5,92.3,,,,,,11.7,5,,,,,60,,,2,,,,0,,0,,0,49,3,77,4,86.5,99.9,27,37,9,37,63.7,34.4,7,13,53.8,,,,5,7,,,6,1,,,,,,,,,,4227,86.5,99.9,37,3,,,,,,,,,,,,,,,,,,,,,16,65,13,64,,86,99,33,99,69,1,40,37,11,,2,44,,,,49,77,4,1
Bluffs Elementary School- Scott-Morgan CUSD 2,Scott-Morgan CUSD 2,1.09E+13,,1.71E+11,1,School,Bluffs Elementary School,Bluffs,Scott,UNIT,SMALL,ELEMENTARY,PK - 5,17.7,Commendable,88,92,,,,,,,23.9,23.9,,59.1,,,92.4,,,,,,10.7,5,,,,,88.9,,,2,,,41,3,20,2,30,2,73,4,44,3,93.1,89.5,8,36,8,36,42.2,62.8,8,16,50,,,29.3,1,1,,,,1,,,,,,,,,,4225,93.1,89.5,29,19,57,1,1,47,1,44,49,43,33,44,42,1,26,3,69,14,24,29,29,,93,,66,49,,,69,,87,56,,74,47,,,78,65,41,20,30,73,44,2,-1
Mulberry Grove Sr High School- Mulberry Grove CUSD 1,Mulberry Grove CUSD 1,3.00E+13,,1.73E+11,3,School,Mulberry Grove Sr High School,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,9 - 12,22.1,Commendable,105,93.3,,,,,,,20,20,,51.4,,,89.6,18,19,16.2,,80,10.1,5,,,,,76,,,3,,,,0,,0,,0,46,3,46,3,91.3,99.9,4,32,4,32,,,15,31,48.4,20,87,40.2,9,18,,,9,9,,,,,,,,,,3462,91.3,99.9,92,7,,,,,,,,,,,,,,,,,,,,,39,35,78,49,11,53,47,36,58,41,36,38,38,48,38,62,61,,,,46,46,3,0
Mulberry Grove Jr High School- Mulberry Grove CUSD 1,Mulberry Grove CUSD 1,3.00E+13,,1.73E+11,3,School,Mulberry Grove Jr High School,Mulberry Grove,Bond,UNIT,SMALL,MIDDLE SCHL,6 - 8,18.2,Commendable,75,93.3,,,,,,,20,20,,48,,10.3,93.3,12.3,,,,,14.9,5,,,,,81,,,2,,,,0,,0,,0,31,2,78,4,97.3,87.5,15,79,10,79,30.7,43.5,7,29,24.1,,,18.8,15,24,,,13,11,,,,,,,,,,3461,97.3,87.5,75,8,,,,,,,,,,,,,,,,,,,,,8,36,27,68,,52,99,20,43,67,34,40,27,35,,52,46,,,,31,78,3,0
Mulberry Grove Elementary School- Mulberry Grove CUSD 1,Mulberry Grove CUSD 1,3.00E+13,,1.73E+11,3,School,Mulberry Grove Elementary School,Mulberry Grove,Bond,UNIT,SMALL,ELEMENTARY,PK - 5,20.5,Commendable,162,93.8,,,,,,,24.7,24.7,,54.9,,,93.3,7.2,,,,,10.3,5,,,,,93.5,,,3,,,56,3,45,3,36,2,56,3,75,4,90.7,52.9,25,65,14,65,54.9,45.8,16,22,72.7,,,21.1,4,5,,,2,3,,,,,,,,,,3460,90.7,52.9,43,17,55,41,17,53,23,56,38,28,46,45,60,49,63,75,55,34,76,44,26,,57,,46,83,,,74,,51,68,,52,58,,,30,56,56,45,36,56,75,3,0
Bond Cty Comm Unit 2 High School- Bond County CUSD 2,Bond County CUSD 2,3.00E+13,,1.72E+11,3,School,Bond Cty Comm Unit 2 High School,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,9 - 12,19.3,Commendable,485,89.7,,2.1,,,,5.4,21.4,20,,47,,,92.4,9.5,50,9.7,2.9,85.6,16.7,5,,,,,91.6,,,2,,,41,3,39,2,43,3,51,3,58,3,80.9,70,36,123,30,122,,,61,122,50,91,82.7,23.2,61,134,,,115,19,,,,,,,,,,1748,80.9,70,493,40,77,38,33,30,4,29,58,54,38,79,54,20,35,55,77,37,46,37,56,33,75,81,79,60,11,76,55,47,82,60,50,58,37,65,49,67,83,41,39,43,51,58,2,-1
Greenville Jr High School- Bond County CUSD 2,Bond County CUSD 2,3.00E+13,,1.72E+11,3,School,Greenville Jr High School,Greenville,Bond,UNIT,LARGE,MIDDLE SCHL,6 - 8,23.9,Commendable,294,86.7,4.4,,,,,6.1,26.9,23.5,,53.4,,29.4,93.3,12.5,27,8.5,,,19.2,4.1,,,,,91.4,,,1,,,71,4,65,4,43,3,38,2,59,3,87.7,88.5,121,292,66,291,52.9,48.8,49,106,46.7,,,22.6,39,63,,,43,20,,,,,,,,,,1750,87.7,88.5,301,26,68,14,67,56,45,76,83,56,29,56,99,49,67,58,99,44,67,80,55,,24,42,46,70,,69,55,1,41,54,34,32,38,57,,28,47,71,65,43,38,59,4,1
Greenville Elementary School- Bond County CUSD 2,Bond County CUSD 2,3.00E+13,,1.72E+11,3,School,Greenville Elementary School,Greenville,Bond,UNIT,LARGE,ELEMENTARY,PK - 5,21.1,Commendable,523,85.3,1.9,4.2,,,,8,27,26.2,,55.1,,,93.4,9.7,50,10.5,,,21.1,2.6,,,,,92,,,1,,,50,3,31,2,47,3,57,3,53,3,99.9,85.3,128,283,98,282,54.3,45,69,104,66.3,,,20.3,17,30,,,11,19,,,,,,,,,,1749,99.9,85.3,176,61,65,20,14,42,17,41,56,54,53,36,57,17,34,41,55,34,59,29,29,,58,,60,57,,,47,,49,67,,58,56,,,71,63,50,31,47,57,53,2,-1
Pocahontas Center- Bond County CUSD 2,Bond County CUSD 2,3.00E+13,,1.72E+11,3,School,Pocahontas Center,Pocahontas,Bond,UNIT,LARGE,ELEMENTARY,PK - 8,23.3,Commendable,211,93.8,,,,,,,27,27,,59.7,,28.6,93.5,10.7,18,10.2,,,15.8,5,,,,,88.6,,,1,,,53,3,57,3,53,3,50,3,48,3,92.7,84,51,126,41,126,41.4,40.1,29,47,61.7,,,17.2,3,7,,,6,1,,,,,,,,,,1751,92.7,84,109,25,81,15,65,37,79,50,71,49,59,82,54,41,61,62,99,50,52,88,49,,63,24,47,38,,66,49,48,30,42,1,38,50,45,,34,55,53,57,53,50,48,3,0
Bond County CUSD 2 Early Childhood Center- Bond County CUSD 2,Bond County CUSD 2,3.00E+13,,1.72E+11,3,School,Bond County CUSD 2 Early Childhood Center,Greenville,Bond,UNIT,LARGE,PreK,PK,24.9,,47,80.9,,,,,,,36.2,36.2,,42.6,,,,,,,,,,5,,,,,77.8,,,,,,,0,,0,,0,,0,,0,0,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,45010,0,66.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Morrisonville High School- Morrisonville CUSD 1,Morrisonville CUSD 1,3.01E+13,,1.73E+11,3,School,Morrisonville High School,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,21,Commendable,85,94.1,,,,,,,24.7,24.7,,42.4,,,91.3,,12,13.6,,84.6,10.6,3.9,,,,,94.4,,,3,,,39,2,43,3,35,2,56,3,65,4,99.9,99.9,4,23,0,23,,,13,21,61.9,17,100,34.1,8,8,,,7,1,,,,,,,,,,3433,99.9,99.9,82,15,72,31,40,35,16,21,54,39,38,63,56,34,48,53,77,28,44,38,67,36,66,60,48,70,10,99,49,44,73,86,66,51,58,56,47,51,82,39,43,35,56,65,2,-1
